participant,h_0,h_1
1d7c0db,0.02561628,10.0
205d5a4,1.5477523,10.0
20b78f0a,0.005021584,10.0
21f983df,7.1658077,2.4565635
222b96a0,0.002697923,10.0
23659a75,0.00857071,10.0
24c1b08b,4.2717075,6.9827952
258fbc5e,10.0,0.44660917
265da921,10.0,0.4866375
2713a5f4,6.101948e-08,10.0
2c2dcf89,10.0,0.10642532
2d63c35c,3.8897328,4.040378
2eb1d623,4.541683,6.416283
2fffdaf6,3.854,3.4444659
34bd971,10.0,0.023991086
40c54a06,10.0,1.320286
418b46d3,10.0,0.027067892
425953ac,10.0,0.08177623
43175f79,10.0,0.02384372
44b37587,10.0,0.22838594
45fd7952,0.1416654,10.0
462f6c2d,1.2486732,8.265333
476160f8,0.00028299703,10.0
48293504,10.0,0.70838046
496739d1,10.0,0.9743505
4ab52cae,2.4878576,6.9419346
4bfb207b,10.0,0.43016818
4eff38f,4.0692253,3.0245752
4f8d1ffa,10.0,0.4557557
5a1ff5a,3.8938973,5.7845507
60eb0902,0.00095711654,10.0
61a505d7,10.0,0.42879546
627710a8,0.98661166,9.198061
63391c7d,3.9873922,3.6999583
649d3683,10.0,0.014590583
65d33a56,10.0,0.09978236
66012f29,10.0,0.32786655
673ea25,4.781324,6.608125
674f23fc,10.0,0.43675828
68077600,10.0,0.6882324
69497ad5,1.5325886,9.938123
6a9b6faa,0.5027341,10.0
6bd5637f,0.3394077,10.0
6d3f4554,10.0,0.37175667
73de6f0,0.48110795,10.0
8020c01e,7.215605,4.2722654
8456ff9f,0.25945947,10.0
8518f34a,10.0,0.43408227
86cae635,4.86679,3.8535514
8784eae0,4.52009,6.1573486
88ccbf1c,0.0047569196,10.0
8a50a6b6,0.008305348,10.0
8b1eaa63,0.099791,10.0
8cba809d,0.2455435,10.0
8df48c48,0.2940244,10.0
8e269937,10.0,0.07907526
8f6895e2,0.07406562,10.0
99cc0e,3.808622,4.313555
a2929ab0,0.07996531,10.0
a478bc9b,0.25871485,10.0
a536b04e,10.0,0.7402588
a6e4a531,10.0,0.56988573
a7aaa9e4,0.49852458,10.0
a8e2fc18,6.4212074,4.6750064
a9acf0cd,0.30372554,10.0
aa7ee5b2,0.056620866,10.0
ab30e967,0.4384653,10.0
ac94c399,0.7877559,10.0
addacf4c,10.0,0.43307766
ae08da33,0.15216336,10.0
af46d6e6,0.57691157,10.0
c038c8d,0.45716298,10.0
c07c4616,7.3769183,3.6968167
c1324ac3,10.0,0.51411474
c2e05fbc,0.045026645,10.0
c3ae5369,10.0,9.621901e-06
c5447542,2.1996465,6.290487
c8903914,10.0,0.002695414
c9de35c1,0.060040906,10.0
ca0c20be,0.25964758,10.0
cb422c6b,10.0,0.34355313
cce60695,0.00018059918,10.0
cda80a40,10.0,0.48211974
ce7a1f3f,10.0,1.1472896
cf3413ea,7.229604,2.4253473
d4d8058,3.6940465,4.927956
e0520512,10.0,0.4291472
e11c09c7,2.8467886,6.7042975
e2ce1cb8,10.0,0.45736012
e380106d,0.57048106,10.0
e7f62fec,10.0,0.43671733
e8be7a10,1.4310048,6.941968
e9f076c5,0.004819512,10.0
e9f9527,10.0,0.49974203
ea2263ba,10.0,0.22853157
eb6c6f6f,0.26267648,10.0
ecc84591,4.0221176,4.281974
ed864944,10.0,0.07130104
ee545c3b,0.079232514,10.0
ef1a50ee,10.0,1.8031921
fd199f2,10.0,0.27055645
